"","text","emotion","polarity"
"224","i think i liked better call saul more than brba can you imagine people compare these shows to ozark and money heistffs","unknown","neutral"
"225","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"226","jensoo au where jisoo tries to watch money heist for jennie but failed miserably","sadness","negative"
"227","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"228","them arturo in money heist is probably the most annoying person in life

var no no no this is yellow card gone…","anger","negative"
"229","people help themselves to money after krugersdorp cashintransit heist","unknown","positive"
"230","money heist seasontrailer 
moneyheist 
lacasadepapel 
wizkid 
blackoutday","unknown","positive"
"231","neymar’s acting role in money heist is one of the most random things i’ve seen on a series <U+0001F602> yellow card gone…","unknown","positive"
"232","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"233","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"234","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"235","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"236","i havent watched money heistbreaking badany marvel movie kya karlijiyega","surprise","positive"
"237","waiting for partof money heist like","joy","positive"
"238","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"239","lets see what are your opinions about entertainment
breaking bad vs money heisttv series which have tons of vie…","sadness","negative"
"240","just did a casino heist didnt get my double money or double rp you owecheers","sadness","neutral"
"241","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"242","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"243","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"244","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"245","money heist","unknown","positive"
"246","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"247","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"248","money heist was the greatest show on netflix","unknown","neutral"
"249","ninth house x the hazel wood

a botched museum heist leaves an amateur thief broke on halloween night the eve of her…","unknown","negative"
"250","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"251","stranger things money heist lucifer diagnosis pandemic","unknown","negative"
"252","best actor ever in money heist arturo<U+0001F60E>hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","positive"
"253","ghanas version of money heist","unknown","positive"
"254","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"255","money heist thalaajith version
 with mankatha team
lit<U+0001F525><U+0001F4B0><U+0001F4AF><U+270C><U+FE0F><U+0001F4A5>
valimai thalaajith moTte tho my heart stopped beating…","joy","positive"
"256","netflixmind hunter
money heist
narcos
unbelievable
dark
you
ozark
 reasons why 
designated survi…","sadness","negative"
"257","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>urvi…","fear","positive"
"258","peaky blinders gtgtgt money heist","unknown","positive"
"259","money heist","unknown","positive"
"260","markjongin skipjoyseulgi

it should be scientist but yeah nice try seulgi wed love to see you doing money…","joy","neutral"
"261","money heist crew","unknown","positive"
"262","anonymous resembles the same energy as the professor in la casa de papelmoney heist when he broadcasted his speech to the…","unknown","positive"
"263","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"264","markjongin skipjoyseulgi

it should be scientist but yeah nice try seulgi wed love to see you doing m…","joy","neutral"
"265","commissionedfor a kirishima in a red jumpsuitmoney heist outfit same outfit for the ongoing actor au fic im d…","unknown","positive"
"266","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"267","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
